[1222/151230.335:ERROR:dxva_video_decode_accelerator_win.cc(1426)] DXVAVDA fatal error: Could not load mf.dll: Não foi possível encontrar o módulo especificado. (0x7E)
[1222/151231.158:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Unrecognized feature: 'ambient-light-sensor'.", source:  (0)
[1222/151231.159:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Unrecognized feature: 'bluetooth'.", source:  (0)
[1222/151231.159:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Unrecognized feature: 'gamepad'.", source:  (0)
[1222/151231.160:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Unrecognized feature: 'local-fonts'.", source:  (0)
[1222/151231.160:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Unrecognized feature: 'window-management'.", source:  (0)
[1222/151250.358:WARNING:backend_impl.cc(1826)] Destroying invalid entry.
[1222/151250.358:WARNING:backend_impl.cc(1826)] Destroying invalid entry.
[1222/151250.359:WARNING:backend_impl.cc(1826)] Destroying invalid entry.
[1222/151250.359:WARNING:backend_impl.cc(1826)] Destroying invalid entry.
[1222/151250.359:WARNING:backend_impl.cc(1826)] Destroying invalid entry.
[1222/151250.360:WARNING:backend_impl.cc(1826)] Destroying invalid entry.
[1222/151250.360:WARNING:backend_impl.cc(1826)] Destroying invalid entry.
[1222/151250.360:WARNING:backend_impl.cc(1826)] Destroying invalid entry.
[1222/151250.360:WARNING:backend_impl.cc(1826)] Destroying invalid entry.
[1222/151250.360:WARNING:backend_impl.cc(1826)] Destroying invalid entry.
[1222/151250.360:WARNING:backend_impl.cc(1826)] Destroying invalid entry.
[1222/151250.361:WARNING:backend_impl.cc(1826)] Destroying invalid entry.
[1222/151250.361:WARNING:backend_impl.cc(1826)] Destroying invalid entry.
[1222/151250.361:WARNING:backend_impl.cc(1826)] Destroying invalid entry.
[1222/151250.361:WARNING:backend_impl.cc(1826)] Destroying invalid entry.
[1222/151250.361:WARNING:backend_impl.cc(1826)] Destroying invalid entry.
[1222/151250.361:WARNING:backend_impl.cc(1826)] Destroying invalid entry.
[1222/151250.401:WARNING:backend_impl.cc(1826)] Destroying invalid entry.
[1222/151250.401:WARNING:backend_impl.cc(1826)] Destroying invalid entry.
[1222/151250.402:WARNING:backend_impl.cc(1826)] Destroying invalid entry.
[1222/151250.402:WARNING:backend_impl.cc(1826)] Destroying invalid entry.
[1222/151250.402:WARNING:backend_impl.cc(1826)] Destroying invalid entry.
[1222/151250.402:WARNING:backend_impl.cc(1826)] Destroying invalid entry.
[1222/151250.402:WARNING:backend_impl.cc(1826)] Destroying invalid entry.
[1222/151250.402:WARNING:backend_impl.cc(1826)] Destroying invalid entry.
[1222/151250.402:WARNING:backend_impl.cc(1826)] Destroying invalid entry.
